ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
435138811,Photo,Kea,Nestor notabilis,,Mark Carter,2014-02-14,2014,2,14,1135,New Zealand,NZ-STL-073,Southland,Southland District,Milford Track--Mackinnon Pass,-44.8026871,167.7654042,"",,Unspecified,"","",,,,,,,S106969190,"",,,,,Nestor notabilis,kea1,Species,11606,,3.00,1,,427,640
435129461,Photo,Kea,Nestor notabilis,,Mark Carter,2014-02-13,2014,2,13,1735,New Zealand,NZ-STL-073,Southland,Southland District,Milford Track--Pompolona Lodge,-44.8374606,167.8008413,"",,Unspecified,"","",,,,,,,S106967948,"",,,,"local birds habituated to people that flew over to lodge. There are old boots and other items attached outside to attract them away from destroying heli-pad, etc.",Nestor notabilis,kea1,Species,11606,,.00,0,,427,640
435129451,Photo,Kea,Nestor notabilis,,Mark Carter,2014-02-13,2014,2,13,1735,New Zealand,NZ-STL-073,Southland,Southland District,Milford Track--Pompolona Lodge,-44.8374606,167.8008413,"",,Unspecified,"","",,,,,,,S106967948,"",,,,"local birds habituated to people that flew over to lodge. There are old boots and other items attached outside to attract them away from destroying heli-pad, etc.",Nestor notabilis,kea1,Species,11606,,.00,0,,427,640
435129431,Photo,Kea,Nestor notabilis,,Mark Carter,2014-02-13,2014,2,13,1735,New Zealand,NZ-STL-073,Southland,Southland District,Milford Track--Pompolona Lodge,-44.8374606,167.8008413,"",,Unspecified,"","",,,,,,,S106967948,"",,,,"local birds habituated to people that flew over to lodge. There are old boots and other items attached outside to attract them away from destroying heli-pad, etc.",Nestor notabilis,kea1,Species,11606,,.00,0,,427,640
435129421,Photo,Kea,Nestor notabilis,,Mark Carter,2014-02-13,2014,2,13,1735,New Zealand,NZ-STL-073,Southland,Southland District,Milford Track--Pompolona Lodge,-44.8374606,167.8008413,"",,Unspecified,"","",,,,,,,S106967948,"",,,,"local birds habituated to people that flew over to lodge. There are old boots and other items attached outside to attract them away from destroying heli-pad, etc.",Nestor notabilis,kea1,Species,11606,,.00,0,,427,640
435129411,Photo,Kea,Nestor notabilis,,Mark Carter,2014-02-13,2014,2,13,1735,New Zealand,NZ-STL-073,Southland,Southland District,Milford Track--Pompolona Lodge,-44.8374606,167.8008413,"",,Unspecified,"","",,,,,,,S106967948,"",,,,"local birds habituated to people that flew over to lodge. There are old boots and other items attached outside to attract them away from destroying heli-pad, etc.",Nestor notabilis,kea1,Species,11606,,.00,0,,427,640
435129401,Photo,Kea,Nestor notabilis,,Mark Carter,2014-02-13,2014,2,13,1735,New Zealand,NZ-STL-073,Southland,Southland District,Milford Track--Pompolona Lodge,-44.8374606,167.8008413,"",,Unspecified,"","",,,,,,,S106967948,"",,,,"local birds habituated to people that flew over to lodge. There are old boots and other items attached outside to attract them away from destroying heli-pad, etc.",Nestor notabilis,kea1,Species,11606,,.00,0,,427,640
435129391,Photo,Kea,Nestor notabilis,,Mark Carter,2014-02-13,2014,2,13,1735,New Zealand,NZ-STL-073,Southland,Southland District,Milford Track--Pompolona Lodge,-44.8374606,167.8008413,"",,Unspecified,"","",,,,,,,S106967948,"",,,,"local birds habituated to people that flew over to lodge. There are old boots and other items attached outside to attract them away from destroying heli-pad, etc.",Nestor notabilis,kea1,Species,11606,,.00,0,,427,640
433607821,Photo,Kea,Nestor notabilis,,Santiago Imberti,2002-08-16,2002,8,16,800,New Zealand,NZ-TAS-051,Tasman,Tasman District,Nelson Lakes National Park--St Arnaud Ridge Track,-41.8203600,172.8788300,Adult – 1,,Unspecified,"","",,,,,,,S27070836,"",,,,,Nestor notabilis,kea1,Species,11606,,3.33,3,,3024,4032
433607801,Photo,Kea,Nestor notabilis,,Santiago Imberti,2002-08-16,2002,8,16,800,New Zealand,NZ-TAS-051,Tasman,Tasman District,Nelson Lakes National Park--St Arnaud Ridge Track,-41.8203600,172.8788300,Adult – 1,,Unspecified,"","",,,,,,,S27070836,"",,,,,Nestor notabilis,kea1,Species,11606,,4.00,1,,3024,4032
433607791,Photo,Kea,Nestor notabilis,,Santiago Imberti,2002-08-16,2002,8,16,800,New Zealand,NZ-TAS-051,Tasman,Tasman District,Nelson Lakes National Park--St Arnaud Ridge Track,-41.8203600,172.8788300,Adult – 1,,Unspecified,"","",,,,,,,S27070836,"",,,,,Nestor notabilis,kea1,Species,11606,,3.00,1,,3024,4032
433607771,Photo,Kea,Nestor notabilis,,Santiago Imberti,2002-08-16,2002,8,16,800,New Zealand,NZ-TAS-051,Tasman,Tasman District,Nelson Lakes National Park--St Arnaud Ridge Track,-41.8203600,172.8788300,Adult – 1,,Unspecified,"","",,,,,,,S27070836,"",,,,,Nestor notabilis,kea1,Species,11606,,4.00,1,,3024,4032
433607741,Photo,Kea,Nestor notabilis,,Santiago Imberti,2002-08-16,2002,8,16,800,New Zealand,NZ-TAS-051,Tasman,Tasman District,Nelson Lakes National Park--St Arnaud Ridge Track,-41.8203600,172.8788300,Adult – 1,,Unspecified,"","",,,,,,,S27070836,"",,,,,Nestor notabilis,kea1,Species,11606,,4.00,1,,3024,4032
430447321,Photo,Kea,Nestor notabilis,,Mark Robbins,1990-12-13,1990,12,13,0,New Zealand,NZ-WTC-057,West Coast,Westland District,Lake Wombat,-43.4036055,170.1682153,"",,Unspecified,"","",,,,,,,S77600810,"",,,,,Nestor notabilis,kea1,Species,,,.00,0,,772,1246
430447311,Photo,Kea,Nestor notabilis,,Mark Robbins,1990-12-13,1990,12,13,0,New Zealand,NZ-WTC-057,West Coast,Westland District,Lake Wombat,-43.4036055,170.1682153,"",,Unspecified,"","",,,,,,,S77600810,"",,,,,Nestor notabilis,kea1,Species,,,.00,0,,1079,908
430447301,Photo,Kea,Nestor notabilis,,Mark Robbins,1990-12-13,1990,12,13,0,New Zealand,NZ-WTC-057,West Coast,Westland District,Lake Wombat,-43.4036055,170.1682153,"",,Unspecified,"","",,,,,,,S77600810,"",,,,,Nestor notabilis,kea1,Species,,,.00,0,,776,1216
428058511,Photo,Kea,Nestor notabilis,,Richard Schofield,2022-03-18,2022,3,18,906,New Zealand,NZ-STL-073,Southland,Southland District,"Mt Luxmore, Kepler Track, Southland, NZ (-45.384, 167.593)",-45.3837842,167.5932558,"",,Unspecified,"","",,,,,,,S105243667,"",,,,0913,Nestor notabilis,kea1,Species,11606,,3.67,3,,1200,1800
428058311,Photo,Kea,Nestor notabilis,,Richard Schofield,2022-03-18,2022,3,18,933,New Zealand,NZ-STL-073,Southland,Southland District,"Mt Luxmore, Kepler Track, Southland, NZ (-45.386, 167.588)",-45.3857925,167.5875408,"",,Unspecified,"","",,,,,,,S105243973,"",,,,"G/m, g. No2",Nestor notabilis,kea1,Species,11606,,4.00,1,,1200,1800
427903931,Photo,Kea,Nestor notabilis,,Pete Read,2015-12-08,2015,12,8,1300,New Zealand,NZ-STL-073,Southland,Southland District,Fiordland NP--Monkey Creek,-44.8003676,168.0215979,"",,Unspecified,"","",,,,,,,S105332324,"",,,,one flew over and several flew in to the enjoyment of those who stopped at the pull off at creek,Nestor notabilis,kea1,Species,11606,,.00,0,,2448,3264
427903921,Photo,Kea,Nestor notabilis,,Pete Read,2015-12-08,2015,12,8,1300,New Zealand,NZ-STL-073,Southland,Southland District,Fiordland NP--Monkey Creek,-44.8003676,168.0215979,"",,Unspecified,"","",,,,,,,S105332324,"",,,,one flew over and several flew in to the enjoyment of those who stopped at the pull off at creek,Nestor notabilis,kea1,Species,11606,,.00,0,,2448,3264
427903911,Photo,Kea,Nestor notabilis,,Pete Read,2015-12-08,2015,12,8,1300,New Zealand,NZ-STL-073,Southland,Southland District,Fiordland NP--Monkey Creek,-44.8003676,168.0215979,"",,Unspecified,"","",,,,,,,S105332324,"",,,,one flew over and several flew in to the enjoyment of those who stopped at the pull off at creek,Nestor notabilis,kea1,Species,11606,,.00,0,,2448,3264
427903901,Photo,Kea,Nestor notabilis,,Pete Read,2015-12-08,2015,12,8,1300,New Zealand,NZ-STL-073,Southland,Southland District,Fiordland NP--Monkey Creek,-44.8003676,168.0215979,"",,Unspecified,"","",,,,,,,S105332324,"",,,,one flew over and several flew in to the enjoyment of those who stopped at the pull off at creek,Nestor notabilis,kea1,Species,11606,,.00,0,,2448,3264
427895901,Photo,Kea,Nestor notabilis,,Deb & Rod R,1979-04-02,1979,4,2,0,New Zealand,NZ-WTC-057,West Coast,Westland District,Westland Tai Poutini NP -- Fox Glacier Walk,-43.4959350,170.0429106,"",,Unspecified,"","",,,,,,,S105418626,"",,,,on top of the bus we were in when we went to Fox Glacier also shows a pic of Fox Glacier at the car park where the bus was. Did not see any other wildlife there.,Nestor notabilis,kea1,Species,11606,,.00,0,,1800,1200
427895871,Photo,Kea,Nestor notabilis,,Deb & Rod R,1979-04-02,1979,4,2,0,New Zealand,NZ-WTC-057,West Coast,Westland District,Westland Tai Poutini NP -- Fox Glacier Walk,-43.4959350,170.0429106,"",,Unspecified,"","",,,,,,,S105418626,"",,,,on top of the bus we were in when we went to Fox Glacier also shows a pic of Fox Glacier at the car park where the bus was. Did not see any other wildlife there.,Nestor notabilis,kea1,Species,11606,,.00,0,,1200,1800
427895851,Photo,Kea,Nestor notabilis,,Deb & Rod R,1979-04-02,1979,4,2,0,New Zealand,NZ-WTC-057,West Coast,Westland District,Westland Tai Poutini NP -- Fox Glacier Walk,-43.4959350,170.0429106,"",,Unspecified,"","",,,,,,,S105418626,"",,,,on top of the bus we were in when we went to Fox Glacier also shows a pic of Fox Glacier at the car park where the bus was. Did not see any other wildlife there.,Nestor notabilis,kea1,Species,11606,,.00,0,,1200,1800
427895841,Photo,Kea,Nestor notabilis,,Deb & Rod R,1979-04-02,1979,4,2,0,New Zealand,NZ-WTC-057,West Coast,Westland District,Westland Tai Poutini NP -- Fox Glacier Walk,-43.4959350,170.0429106,"",,Unspecified,"","",,,,,,,S105418626,"",,,,on top of the bus we were in when we went to Fox Glacier also shows a pic of Fox Glacier at the car park where the bus was. Did not see any other wildlife there.,Nestor notabilis,kea1,Species,11606,,.00,0,,1800,1200
427895831,Photo,Kea,Nestor notabilis,,Deb & Rod R,1979-04-02,1979,4,2,0,New Zealand,NZ-WTC-057,West Coast,Westland District,Westland Tai Poutini NP -- Fox Glacier Walk,-43.4959350,170.0429106,"",,Unspecified,"","",,,,,,,S105418626,"",,,,on top of the bus we were in when we went to Fox Glacier also shows a pic of Fox Glacier at the car park where the bus was. Did not see any other wildlife there.,Nestor notabilis,kea1,Species,11606,,.00,0,,1800,1200
427895761,Photo,Kea,Nestor notabilis,,Deb & Rod R,1979-04-02,1979,4,2,0,New Zealand,NZ-WTC-057,West Coast,Westland District,Westland Tai Poutini NP -- Fox Glacier Walk,-43.4959350,170.0429106,"",,Unspecified,"","",,,,,,,S105418626,"",,,,on top of the bus we were in when we went to Fox Glacier also shows a pic of Fox Glacier at the car park where the bus was. Did not see any other wildlife there.,Nestor notabilis,kea1,Species,11606,,.00,0,,1200,1800
427029101,Photo,Kea,Nestor notabilis,,Virginia Davis,2010-10-15,2010,10,15,1100,New Zealand,NZ-WTC-057,West Coast,Westland District,Knight point lookout,-43.7156123,169.2254376,"",,Unspecified,"","",,,,,,,S105250179,"",,,,,Nestor notabilis,kea1,Species,11606,,.00,0,,768,1024
426929861,Photo,Kea,Nestor notabilis,,Janet Burton,2022-03-04,2022,3,4,1700,New Zealand,NZ-CAN-062,Canterbury,Selwyn District,"Waimakariri Falls Hut, Canterbury",-42.9315498,171.4609123,"",,Unspecified,"","",,,,,,,S105223354,"",,,,"eight Kea actually seen though possibly more in the area as noisy calling persisted. My friend who observed these Kea on his tramp to Waimakariri Falls Hut told me the Kea were not bothered by people close by. Two had bands on their legs MC & CM though no colour or which leg was mentioned.  Poor quality photoas taken off video, shows 5 Kea,one in flight, 3 on rail, one on roof.",Nestor notabilis,kea1,Species,11606,,1.00,1,,378,737
426227991,Photo,Kea,Nestor notabilis,,Rachel Hufton,2022-03-18,2022,3,18,1030,New Zealand,NZ-OTA-070,Otago,Queenstown-Lakes District,West of the Turrets,-44.2757533,169.0662148,"",,Unspecified,"","",,,,,,,S105048487,"",,,,A pair of 2nd year birds feeding on spear grass,Nestor notabilis,kea1,Species,11606,,3.00,1,,3672,4896
426227951,Photo,Kea,Nestor notabilis,,Rachel Hufton,2022-03-18,2022,3,18,1030,New Zealand,NZ-OTA-070,Otago,Queenstown-Lakes District,West of the Turrets,-44.2757533,169.0662148,"",,Unspecified,"","",,,,,,,S105048487,"",,,,A pair of 2nd year birds feeding on spear grass,Nestor notabilis,kea1,Species,11606,,4.00,1,,3672,4896
426031951,Photo,Kea,Nestor notabilis,,Dan Tallman,1990-12-08,1990,12,8,0,New Zealand,NZ-CAN-062,Canterbury,Selwyn District,"Arthur's Pass NP (general - please use more specific locations if possible)",-42.9428430,171.5621320,Adult – 1,,Unspecified,"","",,,,,,,S9405961,"",,,,,Nestor notabilis,kea1,Species,11606,,3.33,3,,1602,2400
426031811,Photo,Kea,Nestor notabilis,,Dan Tallman,1990-12-08,1990,12,8,0,New Zealand,NZ-CAN-062,Canterbury,Selwyn District,"Arthur's Pass NP (general - please use more specific locations if possible)",-42.9428430,171.5621320,Adult – 1,,Unspecified,"","",,,,,,,S9405961,"",,,,,Nestor notabilis,kea1,Species,11606,,4.50,4,,1581,2400
421153351,Photo,Kea,Nestor notabilis,,Edward Jenkins,2012-11-04,2012,11,4,0,New Zealand,NZ-CAN-062,Canterbury,Selwyn District,"Arthur's Pass Track",-42.9150576,171.5579182,"",,Unspecified,"","",,,,,,,S103976009,"",,,,,Nestor notabilis,kea1,Species,11606,,.00,0,,960,720
418494371,Photo,Kea,Nestor notabilis,,Merrill Lester,2014-11-25,2014,11,25,1100,New Zealand,NZ-STL,Southland,,Fiordland NP--Milford Sound (General),-44.6669090,167.9153440,"",,Unspecified,"","",,,,,,,S103362086,"",,,,,Nestor notabilis,kea1,Species,11606,,.00,0,,1598,2293
417933831,Photo,Kea,Nestor notabilis,,Qin Huang,2017-12-29,2017,12,29,900,New Zealand,NZ-STL-073,Southland,Southland District,Fiordland NP--Monkey Creek,-44.8003676,168.0215979,Adult – 1,,Unspecified,"","",,,,,,,S41606996,"",,,,,Nestor notabilis,kea1,Species,11606,,4.00,1,,3712,5568
417933821,Photo,Kea,Nestor notabilis,,Qin Huang,2017-12-29,2017,12,29,900,New Zealand,NZ-STL-073,Southland,Southland District,Fiordland NP--Monkey Creek,-44.8003676,168.0215979,Adult – 1,,Unspecified,"","",,,,,,,S41606996,"",,,,,Nestor notabilis,kea1,Species,11606,,4.00,1,,3712,5568
417933811,Photo,Kea,Nestor notabilis,,Qin Huang,2017-12-29,2017,12,29,900,New Zealand,NZ-STL-073,Southland,Southland District,Fiordland NP--Monkey Creek,-44.8003676,168.0215979,Adult – 1,,Unspecified,"","",,,,,,,S41606996,"",,,,,Nestor notabilis,kea1,Species,11606,,4.00,1,,3712,5568
416764801,Photo,Kea,Nestor notabilis,,Michael Violette,2020-07-31,2020,7,31,1338,New Zealand,NZ-WTC-057,West Coast,Westland District,"Auto selected -42.88827, 171.55658",-42.8882660,171.5565770,"",,Unspecified,"","",,,,,,,S72001053,"",,,,,Nestor notabilis,kea1,Species,11606,,.00,0,,1280,1920
416764651,Photo,Kea,Nestor notabilis,,Michael Violette,2020-07-31,2020,7,31,1338,New Zealand,NZ-WTC-057,West Coast,Westland District,"Auto selected -42.88827, 171.55658",-42.8882660,171.5565770,"",,Unspecified,"","",,,,,,,S72001053,"",,,,,Nestor notabilis,kea1,Species,11606,,.00,0,,1280,1920
416764621,Photo,Kea,Nestor notabilis,,Michael Violette,2020-07-31,2020,7,31,1338,New Zealand,NZ-WTC-057,West Coast,Westland District,"Auto selected -42.88827, 171.55658",-42.8882660,171.5565770,"",,Unspecified,"","",,,,,,,S72001053,"",,,,,Nestor notabilis,kea1,Species,11606,,.00,0,,1280,1920
416764531,Photo,Kea,Nestor notabilis,,Michael Violette,2020-07-31,2020,7,31,1338,New Zealand,NZ-WTC-057,West Coast,Westland District,"Auto selected -42.88827, 171.55658",-42.8882660,171.5565770,"",,Unspecified,"","",,,,,,,S72001053,"",,,,,Nestor notabilis,kea1,Species,11606,,.00,0,,1280,1920
